Company,Team,Position,Research Area,Location,PhD Eligibility,Status,Deadline,Official URL,Match Type,Relevant Project,Match Explanation,Verification Date
Waymo,Software Engineering / Perception,"2027 Summer Intern, PhD, Machine Learning, Computer Vision","Multimodal perception foundation models; VLMs; active learning; representation analysis","Mountain View, CA",Yes - enrolled PhD CS/Robotics/EE/related,OPEN FOR SUMMER 2027,Rolling until filled,https://careers.withwaymo.com/jobs/2027-summer-intern-phd-machine-learning-computer-vision-mountain-view-california-united-states,Strong methodology match,Morphology-Guided Foundation Models; ShadoNet,"ViTs multimodal FMs SSL preference and PyTorch CV training align; AV domain is transferable not biomedical",2026-09-17
Google,Matched across Google research teams,"Research Intern, PhD, Summer 2027","Computer vision; machine learning; deep learning (team-matched)","Multiple US sites (must be in US)",Yes - enrolled PhD; penultimate year intended,OPEN FOR SUMMER 2027,"Anticipated until 2027-02-26 (may close earlier); rolling",https://www.google.com/about/careers/applications/jobs/results/86701057991680710-research-intern-phd-summer-2027,Strong methodology match,ShadoNet; Morphology-Guided Foundation Models,"PhD CS with CV/DL detection-segmentation research and publications matches listed areas",2026-09-17
Google,"Google DeepMind / Google Research / Google Cloud (project-matched)","Student Researcher, PhD, Winter-Summer 2027","Flexible research including CV/ML/DL","Multiple US sites; select remote US/Canada possible",Yes - enrolled PhD with research focus,OPEN FOR SUMMER 2027,"Anticipated until 2027-07-16 (may close earlier); rolling",https://www.google.com/about/careers/applications/jobs/results/134313315235963590-student-researcher-phd-wintersummer-2027,Strong methodology match,Morphology-Guided Foundation Models; ShadoNet,"Flexible research placement suits biomedical CV PhD; publications recommended",2026-09-17
Intuit,AI Research,"Summer 2027: PhD AI Research Intern","Robust/safe AI; neuro-symbolic AI; RL; agents; LM post-training","Mountain View, CA (hybrid)",Yes - current PhD CS/EE/Stats/Applied Math/related,OPEN FOR SUMMER 2027,"Not stated; cohorts May-Aug or Jun-Sep 2027",https://jobs.intuit.com/job/mountain-view/summer-2027-phd-ai-research-intern/27595/100620927776,Transferable/general ML match,General ML research practice,"PhD ML + PyTorch + pubs fit; domain is fintech AI not imaging - weaker domain match",2026-09-17
TikTok,Intelligent Creation - Vision and Graphics,"Generative AI Researcher Intern (Intelligent Creation-Vision and Graphics) - 2027 Start (PhD)","Video understanding; multimodal; image/video synthesis; 3D vision","San Jose, CA",Yes - pursuing PhD CS/related,2027 OPPORTUNITY - STATUS UNCLEAR (open for 2027; summer not named),Rolling; state availability on resume,https://lifeattiktok.com/search/7668183035989281029,Strong methodology match,Morphology-Guided Foundation Models; ShadoNet,"CV/ML research with preferred top-conference pubs; 12 weeks in 2027",2026-09-17
TikTok,Trust and Safety Algorithm,"Research Scientist Intern (Trust and Safety - CV/NLP/Multimodal LLM) - 2027 Start (PhD)","Computer vision; multimodal LLMs; content recognition","San Jose, CA",Yes - PhD candidate CS/related,2027 OPPORTUNITY - STATUS UNCLEAR (open for 2027; summer not named),Rolling,https://lifeattiktok.com/search/7662674242861074741,Strong methodology match,Morphology-Guided Foundation Models,"CV/multimodal research + PyTorch; hard-case detection similar to biomedical imbalance challenges",2026-09-17
TikTok,Trust and Safety Algorithm,"Research Scientist Intern (Trust and Safety - CV/NLP/Multimodal LLM) - 2027 Start (PhD)","Computer vision; multimodal LLMs","Seattle, WA",Yes - PhD candidate CS/related,2027 OPPORTUNITY - STATUS UNCLEAR,Rolling,https://lifeattiktok.com/search/7662672903447988485,Strong methodology match,Morphology-Guided Foundation Models,"Same Trust and Safety CV/multimodal track in Seattle",2026-09-17
Netflix,Streaming / Engineering,"Machine Learning/AI Scientist PhD Intern, Winter 2027","ML/AI research (CV among possible areas)","Los Gatos / Los Angeles, CA",Yes - PhD,OPEN FOR WINTER 2027 (not Summer 2027),Not verified on page fetch,https://explore.jobs.netflix.net/careers/job/790317916733,Transferable/general ML match,General CV/ML research,"Open Winter 2027 PhD ML/AI scientist intern; monitor for Summer 2027",2026-09-17
Apple,AIML,"Machine Learning and Artificial Intelligence PhD Internships","LLMs; diffusion; RL; multimodal (umbrella)",Various US,Yes - PhD,2027 OPPORTUNITY - STATUS UNCLEAR (open umbrella; Summer 2027 not explicit),Ongoing applications,https://jobs.apple.com/en-us/details/200664223/machine-learning-and-artificial-intelligence-phd-internships,Strong methodology match (possible),Morphology-Guided Foundation Models,"Umbrella PhD AIML internship portal; team/project matching required",2026-09-17
NVIDIA,Computer Vision and Deep Learning Research,"NVIDIA 2027 Internships: Ph.D. Research Computer Vision and Deep Learning","3D vision; generative 3D; efficient ViTs; multimodal VLMs","Santa Clara, CA",Yes - enrolled PhD CS/EE/related,CLOSED / HISTORICAL (2027 posting no longer accepting),Closed,https://jobs.nvidia.com/careers/job/893397112016,Strong methodology match,ShadoNet; Foundation Models,"Evidence NVIDIA hires PhD CV interns for 2027; this req closed as of verification",2026-09-17
Adobe,Machine Learning Engineering,"2027 Intern - Machine Learning Engineer","Machine learning engineering",San Jose CA + other sites,Not fully verified on filled page,CLOSED / FILLED,Filled,https://careers.adobe.com/us/en/job/R171519/2027-Intern-Machine-Learning-Engineer,Transferable/general ML match,General ML,"Official page states job has been filled; monitor Adobe Research fall 2027 openings",2026-09-17
Adobe Research,Adobe Research,"Adobe Research Internships (2027 cycle)","Vision; generative; multimodal research",Various,PhD/MS typical for research track,EXPECTED / MONITOR,"Applications for 2027 expected to open in fall (per Adobe Research site)",https://research.adobe.com/careers/internships/,Strong methodology match,Morphology-Guided Foundation Models,"Adobe Research announced 2027 internship applications open in fall",2026-09-17
Meta / FAIR,Multimodal Foundations / CV,"Research Scientist Intern Computer Vision (PhD) - historical/mirrors","Computer vision; multimodal foundations; representation learning","Menlo Park / Seattle / Redmond (typical)",Yes - PhD CV/ML/AI,EXPECTED / MONITOR,Not verified - no live official FAIR CV intern confirmed,https://www.metacareers.com/,Strong methodology match,Morphology-Guided Foundation Models; ShadoNet,"Strong historical FAIR CV intern fit; do not treat third-party mirrors as open",2026-09-17
Microsoft,Microsoft AI / Applied Science,"Applied Science: PhD Microsoft AI Internship Opportunities","Search; ranking; NLP; computer vision among applied areas","Redmond WA / Mountain View CA (variants)",Yes - pursuing Doctorate,EXPECTED / MONITOR / STATUS UNCLEAR,"Hiring window often Sept-April ongoing; Summer 2027 label not verified on durable JD",https://www.microsoft.com/en-us/research/careers/,Transferable/general ML-CV match,ShadoNet; Foundation Models,"Applied Science PhD AI internships appear on MSR careers listings; confirm live Apply page before applying",2026-09-17
Microsoft Research,Health Futures,"Research Intern (Healthcare / life sciences) - program-level","Healthcare AI; biomedical research",US MSR labs (varies),PhD research interns typical,EXPECTED / MONITOR,Year-round MSR internships typically summer-heavy,https://www.microsoft.com/en-us/research/lab/microsoft-health-futures/,Direct domain + methodology match (when matched),Foundation Models; TopoTrack,"Health Futures is biomedical research home; apply via MSR internship matching when open",2026-09-17
Amazon,International Machine Learning,"2027 Applied Science Intern (Computer Vision)","Computer vision; deep learning","Melbourne, Australia (not US)",Yes - enrolled PhD CV/ML,OPEN but outside US focus,Not verified,https://www.amazon.jobs/en/jobs/10459543/2027-applied-science-intern-computer-vision-amazon-international-machine-learning,Strong methodology match,ShadoNet,"Verified 2027 CV AS intern but location is Melbourne; monitor amazon.jobs for US Summer 2027",2026-09-17
Amazon / AWS,Applied Science,"Applied Scientist Intern PhD (US Summer 2027)","CV/ML applied science",US (when posted),PhD typical for AS research intern,EXPECTED / MONITOR,Not posted / not verified for US Summer 2027,https://www.amazon.jobs,Strong methodology match,ShadoNet; Foundation Models,"US Summer 2027 AS PhD CV not verified; prior US cycles exist",2026-09-17
Genentech / Roche,OpRegen ML / Cellestial,"2027 Spring Intern - OpRegen Machine Learning","Cell morphology from microscopy; PyTorch image analysis","South San Francisco, CA (on-site)",Quantitative PhD/MS tracks accepted (not PhD-only),2027 OPPORTUNITY - STATUS UNCLEAR,"Spring 2027 (Jan start ~6 months); OpRegen not in live search as of 2026-09-23 — monitor internship portal",https://careers.gene.com/us/en/internships/internship-opportunities,Direct domain + methodology match,SporeAI; ShadoNet,"Morphology-aware cell microscopy ML is near-direct SporeAI match; confirm posting live before applying",2026-09-23
Genentech,Research Pathology,"2026 Summer Intern - Digital and Spatial Pathology","Digital pathology; spatial pathology",South San Francisco CA,PhD eligible in prior posting,CLOSED / HISTORICAL,2026 cycle; monitor Genentech internship portal for 2027,https://careers.gene.com/us/en/job/202601-102571/2026-Summer-Intern-Digital-and-Spatial-Pathology-Research-Pathology,Direct domain + methodology match,ShadoNet; TopoTrack,"Evidence Genentech hires digital/spatial pathology interns; monitor 2027 via https://careers.gene.com/us/en/",2026-09-23
PathAI,AI Product / ML Core,"Machine Learning Intern/Co-op (Fall 2026)","Computational pathology; computer vision ML","Boston MA / New York NY (remote US considered)",Yes - MS or PhD CV/ML,CLOSED / HISTORICAL,Fall 2026,Not verified on PathAI official page this pass (secondary discovery),Direct domain + methodology match,ShadoNet,"Direct histopathology ML internship pattern; monitor PathAI careers for 2027",2026-09-17
Tempus,Applied AI and Research,"Applied AI & Research Intern (Summer 2026 historical)","Oncology/pathology domain adaptation; multimodal clinical AI","Chicago IL (hybrid)",MS/PhD,CLOSED / HISTORICAL,Summer 2026,https://www.tempus.com/careers,Direct domain + methodology match,Foundation Models; ShadoNet,"Tempus+Paige digital pathology stack; watch for Summer 2027 advanced-degree track",2026-09-17
Eli Lilly,Advanced Intelligence & Research / Clinical Development,"AI PhD Foundation Model for Clinical Imaging Internship","Foundation models for clinical imaging incl. digital pathology","Indianapolis IN (typical Lilly HQ)",Yes - PhD with substantial graduate work,EXPECTED / MONITOR,Not verified live on careers.lilly.com,https://careers.lilly.com/us/en/internships,Direct domain + methodology match,Morphology-Guided Foundation Models; ShadoNet,"Near-perfect FM + digital pathology fit; third-party JD exists - verify official Apply page",2026-09-17
Johnson & Johnson Innovative Medicine,Computer Vision,"Data Science AI/ML Summer Intern - Computer Vision - Microscopy (historical)","H&E WSI histopathology quantification",United States,Yes - PhD student,EXPECTED / MONITOR / CLOSED HISTORICAL,Prior summer cycle,https://www.careers.jnj.com,Direct domain + methodology match,ShadoNet,"Direct H&E microscopy CV internship evidence; monitor 2027 Technology/IM postings",2026-09-17
insitro,Compute,"Machine Learning Intern (Summer 2026 historical)","Imaging; omics; multimodal ML drug discovery","South San Francisco CA (hybrid/remote possible)",BS/MS/PhD,CLOSED / HISTORICAL,Summer 2026,https://www.insitro.com/careers,Direct domain + methodology match,SporeAI; Foundation Models,"Cellular imaging + multimodal biology without pathology title; monitor Summer 2027",2026-09-17
Owkin,Research / AI,PhD Research Intern (when posted),Multimodal biomedical AI / pathology,US/EU varies,PhD typical,EXPECTED / MONITOR,Not verified open,https://www.owkin.com/careers,Direct domain + methodology match,Foundation Models; ShadoNet,"Biomedical AI company historically aligned; no verified Summer 2027 posting",2026-09-17
Flatiron Health,Research / ML,Research Intern (when posted),Oncology real-world data + AI,New York NY typical,Advanced degree typical,EXPECTED / MONITOR,Not verified open,https://flatiron.com/careers,Transferable biomedical AI match,Foundation Models,"Oncology AI adjacent; less image-heavy than PathAI/Tempus",2026-09-17
GE HealthCare,AI Research,AI Research Intern (when posted),Medical imaging AI,US when posted,Varies,EXPECTED / MONITOR,Not verified US Summer 2027,https://jobs.gehealthcare.com,Direct domain match (possible),ShadoNet,"Medical imaging company; no verified US Summer 2027 PhD research intern",2026-09-17
Siemens Healthineers,Digital Pathology / Imaging AI,Research Intern (when posted),Digital pathology; imaging AI,US when posted,Varies,EXPECTED / MONITOR,Not verified,https://jobs.siemens-healthineers.com,Direct domain + methodology match,ShadoNet,"Digital pathology vendor ecosystem; monitor careers",2026-09-17
Philips,Healthcare AI / Imaging,Research Intern (when posted),Medical imaging AI,US when posted,Varies,EXPECTED / MONITOR,Not verified,https://www.careers.philips.com,Direct domain match (possible),ShadoNet,"Medical imaging; monitor PhD research intern postings",2026-09-17
IBM Research,AI Foundations,"AI Foundations Research Internship - 2027 (third-party mirrors)","AI foundations research","Yorktown Heights NY (typical)",PhD/advanced degree typical,STATUS UNCLEAR,Not verified on IBM Careers JobDetail,https://research.ibm.com/careers,Transferable/general ML match,Foundation Models,"Third-party 2027 mirrors exist; verify official IBM posting before applying",2026-09-17
